,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoLoose_FixedRad,122.92770385742188,10020.984375,103.18558502197266,11071.4248046875,152.56637285649776,164.69635200500488
muon_0_MUON_EFF_ISO_STAT_1up_MuEffSF_IsoTightTrackOnly_FixedRad,122.95143127441406,10023.42578125,103.19829559326172,11074.015625,152.6046156734228,164.7426586151123
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoLoose_FixedRad,123.0451431274414,10029.595703125,103.27381134033203,11080.9306640625,152.67553110420704,164.8260054588318
muon_0_MUON_EFF_ISO_SYS_1up_MuEffSF_IsoTightTrackOnly_FixedRad,123.66179656982422,10070.1533203125,103.71155548095703,11127.4013671875,153.10977746546268,165.39209413528442
muon_0_MUON_EFF_RECO_STAT_1up_MuEffSF_Reco_QualMedium,122.96548461914062,10024.2646484375,103.22893524169922,11075.1455078125,152.61434568464756,164.74628067016602
muon_0_MUON_EFF_RECO_STAT_LOWPT_1up_MuEffSF_Reco_QualMedium,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
muon_0_MUON_EFF_RECO_SYS_1up_MuEffSF_Reco_QualMedium,123.06326293945312,10033.1396484375,103.30933380126953,11084.775390625,152.76687441766262,164.90874671936035
muon_0_MUON_EFF_RECO_SYS_LOWPT_1up_MuEffSF_Reco_QualMedium,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
muon_0_MUON_EFF_TTVA_STAT_1up_MuEffSF_TTVA,122.93382263183594,10021.4365234375,103.19300079345703,11071.9462890625,152.5716412961483,164.70040845870972
muon_0_MUON_EFF_TTVA_SYS_1up_MuEffSF_TTVA,122.93568420410156,10021.587890625,103.18916320800781,11072.107421875,152.5784323811531,164.70545959472656
muon_0_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,122.9322738647461,10022.67578125,103.20814514160156,11072.921875,152.5733940601349,164.71259450912476
muon_0_MUON_EFF_TrigStatUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,123.30950164794922,10052.525390625,103.513671875,11106.3046875,153.07215827703476,165.20160150527954
muon_0_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,122.98207092285156,10026.966796875,103.33023071289062,11077.56640625,152.60197377204895,164.8118872642517
muon_0_MUON_EFF_TrigSystUncertainty_1up_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,123.5820083618164,10076.2763671875,103.74349975585938,11132.7216796875,153.38446563482285,165.59771966934204
jet_FT_EFF_Eigen_B_0_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_B_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,122.87770080566406,10014.978515625,103.07371520996094,11063.7705078125,152.51527333259583,164.57138109207153
jet_FT_EFF_Eigen_B_1_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_B_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,122.9211196899414,10020.068359375,103.17938232421875,11070.2265625,152.52914357185364,164.67592477798462
jet_FT_EFF_Eigen_B_2_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_B_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,122.86128234863281,10014.9013671875,103.01956176757812,11062.9755859375,152.52909779548645,164.58660793304443
jet_FT_EFF_Eigen_C_0_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_C_0_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.29383087158203,10050.66015625,103.31753540039062,11100.0673828125,152.96186757087708,166.12421321868896
jet_FT_EFF_Eigen_C_1_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_C_1_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.02448272705078,10030.01953125,103.26490783691406,11081.3525390625,152.6362602710724,165.12379837036133
jet_FT_EFF_Eigen_C_2_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
jet_FT_EFF_Eigen_C_2_1up_global_ineffSF_MV2c10_FixedCutBEff_85,122.90361022949219,10018.205078125,103.17367553710938,11068.779296875,152.4824516773224,164.58719205856323
jet_FT_EFF_Eigen_C_3_1up_global_effSF_MV2c10_FixedCutBEff_85,122.90962219238281,10019.5849609375,103.17576599121094,11070.013671875,152.54133534431458,164.66730403900146
